sys_energy,sys_energy_ap,avg_acc_err
-85.1157,-85.1157,nan
-82.3747,-82.375,0.00016781
-82.1909,-82.1911,0.000163897
-82.1173,-82.1175,0.000175658
-82.0837,-82.0838,0.000172326
-82.0665,-82.0666,0.000155539
-82.0566,-82.0567,0.000153268
-82.0513,-82.0514,0.000152012
-82.0488,-82.0488,0.000163692
-82.0494,-82.0494,0.000178068
-82.0571,-82.057,0.000177092
-82.0859,-82.0858,0.000174852
-82.1848,-82.1846,0.000177314
-82.4815,-82.4813,0.000176562
-82.9184,-82.9183,0.000174077
-83.0015,-83.0014,0.000170648
-82.8336,-82.8336,0.000163426
-82.6524,-82.6523,0.000154789
-82.5099,-82.5098,0.00014542
-82.402,-82.402,0.000145811
-82.322,-82.322,0.000142932
-82.262,-82.262,0.000136827
-82.2168,-82.2168,0.000128566
-82.1838,-82.1838,0.000123387
-82.1606,-82.1606,0.000122354
-82.1537,-82.1537,0.000128406
-82.189,-82.189,0.000133861
-82.3236,-82.3236,0.000136129
-82.5206,-82.5206,0.000141074
-82.5911,-82.5911,0.000149855
-82.5616,-82.5616,0.000167381
-82.5137,-82.5137,0.000173394
-82.4638,-82.4638,0.000171171
-82.4163,-82.4164,0.000169631
-82.3752,-82.3752,0.000165173
-82.3414,-82.3414,0.000160102
-82.3119,-82.3119,0.000155831
-82.2849,-82.2849,0.000151453
-82.2644,-82.2644,0.000150994
-82.2568,-82.2568,0.000153392
-82.2873,-82.2873,0.000153547
-82.3878,-82.3878,0.000154754
-82.493,-82.493,0.000153016
-82.5131,-82.5131,0.00015603
-82.4867,-82.4868,0.000159855
-82.4528,-82.4528,0.00016927
-82.4258,-82.4258,0.000176503
-82.4003,-82.4003,0.000180568
-82.3735,-82.3735,0.000200262
-82.3468,-82.3468,0.000201498
-82.3218,-82.3219,0.00018645
-82.3022,-82.3022,0.000188672
-82.2899,-82.2899,0.000237628
-82.2911,-82.2911,0.00020575
-82.3285,-82.3285,0.000180028
-82.4107,-82.4107,0.000170246
-82.4693,-82.4693,0.000170762
-82.4705,-82.4705,0.000174105
-82.4492,-82.4492,0.000173105
-82.4222,-82.4222,0.000172766
-82.3975,-82.3975,0.000172335
-82.3805,-82.3805,0.000169303
-82.3679,-82.3679,0.000171999
-82.3529,-82.3529,0.000170267
-82.3381,-82.3381,0.000166734
-82.3242,-82.3242,0.000163854
-82.3149,-82.3149,0.000163443
-82.321,-82.321,0.000164073
-82.3641,-82.364,0.000165241
-82.4265,-82.4265,0.00016386
-82.4531,-82.4531,0.000164694
-82.4452,-82.4452,0.000171895
-82.4274,-82.4274,0.000167323
-82.409,-82.409,0.000166274
-82.3895,-82.3896,0.000165578
-82.3712,-82.3713,0.000168366
-82.357,-82.357,0.00016761
-82.3483,-82.3484,0.000167642
-82.3383,-82.3384,0.000170552
-82.329,-82.329,0.000174386
-82.3275,-82.3275,0.000173236
-82.3469,-82.3468,0.000173503
-82.3932,-82.3932,0.00017139
-82.4306,-82.4306,0.000169515
-82.4343,-82.4343,0.000180712
-82.4223,-82.4223,0.000190196
-82.4091,-82.4091,0.000175572
-82.3978,-82.3978,0.000171638
-82.3835,-82.3835,0.00016943
-82.3691,-82.3692,0.000172106
-82.3549,-82.3549,0.000171761
-82.3446,-82.3446,0.000173814
-82.3403,-82.3403,0.000173925
-82.3402,-82.3402,0.000179947
-82.3472,-82.3473,0.000197652
-82.374,-82.3741,0.000192149
-82.4121,-82.4121,0.000179311
-82.43,-82.43,0.000172095
-82.4256,-82.4256,0.000172276
-82.4122,-82.4122,0.000171582
-82.3964,-82.3964,0.000170874
-82.3835,-82.3836,0.000171182
-82.3709,-82.3709,0.000176912
-82.3597,-82.3598,0.000182591
-82.3514,-82.3514,0.00017482
-82.342,-82.342,0.00017003
-82.3355,-82.3355,0.000169717
-82.3388,-82.3388,0.000169341
-82.3573,-82.3573,0.000166614
-82.3906,-82.3905,0.000166504
-82.4178,-82.4178,0.000168055
-82.4234,-82.4234,0.000171302
-82.4167,-82.4167,0.000171615
-82.4051,-82.4051,0.000174967
-82.3934,-82.3934,0.000182595
-82.3856,-82.3856,0.0001792
-82.3769,-82.377,0.000174459
-82.3642,-82.3642,0.000172841
-82.3529,-82.353,0.000167793
-82.344,-82.3441,0.000170138
-82.3394,-82.3394,0.000172818
-82.3462,-82.3462,0.000174997
-82.3683,-82.3683,0.000175044
-82.3976,-82.3976,0.000175396
-82.4134,-82.4135,0.000177566
-82.4104,-82.4104,0.000179197
-82.4001,-82.4001,0.00017951
-82.3908,-82.3908,0.000176681
-82.3807,-82.3808,0.000175055
-82.3738,-82.3738,0.000172204
-82.3699,-82.3699,0.000173185
-82.3638,-82.3639,0.000172595
-82.3568,-82.3568,0.000172672
-82.3531,-82.3531,0.000170797
-82.3532,-82.3532,0.000171015
-82.3614,-82.3615,0.000169678
-82.3796,-82.3796,0.000169388
-82.3962,-82.3962,0.000172891
-82.4022,-82.4022,0.000176
-82.4004,-82.4005,0.000180364
-82.3962,-82.3962,0.000184645
-82.3868,-82.3869,0.000184723
-82.375,-82.3751,0.000180918
-82.3674,-82.3675,0.000175905
-82.3642,-82.3642,0.000174457
-82.3599,-82.3599,0.000177672
-82.3551,-82.3551,0.00019455
-82.3548,-82.3549,0.000187725
-82.3641,-82.3642,0.000173982
-82.3804,-82.3804,0.000168818
-82.3949,-82.3949,0.000167616
-82.3997,-82.3998,0.000168975
-82.3949,-82.395,0.00017016
-82.3875,-82.3875,0.00017304
-82.3823,-82.3824,0.000175719
-82.3779,-82.3779,0.000180478
-82.372,-82.3721,0.000184763
-82.3641,-82.3642,0.000173721
-82.3599,-82.3599,0.000167099
-82.359,-82.3591,0.000167145
-82.357,-82.357,0.000170387
-82.359,-82.359,0.000169618
-82.369,-82.369,0.000170258
-82.3846,-82.3847,0.000173992
-82.3963,-82.3964,0.000176874
-82.3971,-82.3972,0.000179128
-82.3909,-82.3909,0.000182816
-82.3834,-82.3835,0.00018107
-82.3777,-82.3777,0.000179164
-82.373,-82.3731,0.00017829
-82.3661,-82.3661,0.000176143
-82.3596,-82.3596,0.000177014
-82.3565,-82.3566,0.000178339
-82.3586,-82.3586,0.000179161
-82.3612,-82.3613,0.000176086
-82.3697,-82.3698,0.000173883
-82.3812,-82.3813,0.000172649
-82.3917,-82.3918,0.000172273
-82.397,-82.3971,0.00017224
-82.3924,-82.3924,0.000173114
-82.383,-82.3831,0.000175193
-82.3752,-82.3752,0.000179582
-82.3712,-82.3712,0.000182975
-82.3661,-82.3662,0.00017467
-82.3612,-82.3612,0.000170142
-82.3567,-82.3567,0.000169321
-82.3556,-82.3556,0.000168132
-82.3603,-82.3603,0.000165722
-82.3649,-82.3649,0.000166801
-82.3707,-82.3707,0.000166683
-82.3821,-82.382,0.00016988
-82.3909,-82.391,0.000172493
-82.3922,-82.3923,0.000171314
-82.388,-82.388,0.000169369
-82.3814,-82.3814,0.000168574
-82.3759,-82.3759,0.000168459
-82.3703,-82.3703,0.000167837
-82.364,-82.364,0.000165918
-82.3593,-82.3593,0.000167792
-82.3568,-82.3569,0.000169057
-82.3554,-82.3555,0.000168759
-82.3598,-82.3599,0.000173318
-82.371,-82.371,0.000170061
-82.3818,-82.3819,0.000168931
-82.389,-82.389,0.000170835
-82.3866,-82.3867,0.00017596
-82.3789,-82.379,0.000173975
-82.3755,-82.3756,0.000170451
-82.3731,-82.3732,0.000169355
-82.3717,-82.3717,0.000167167
-82.3699,-82.37,0.000167956
-82.3664,-82.3665,0.000167729
-82.3616,-82.3617,0.000165971
-82.3575,-82.3576,0.000164648
-82.357,-82.3571,0.000165992
-82.3634,-82.3635,0.000165212
-82.3757,-82.3758,0.000165831
-82.385,-82.3851,0.000168593
-82.3884,-82.3885,0.000170652
-82.3867,-82.3867,0.000171409
-82.3792,-82.3792,0.000170786
-82.3705,-82.3705,0.000169077
-82.3663,-82.3664,0.000170881
-82.3666,-82.3667,0.000170395
-82.3659,-82.366,0.000170343
-82.3625,-82.3626,0.000166532
-82.3596,-82.3596,0.000165699
-82.3598,-82.3599,0.000166191
-82.362,-82.3621,0.000166117
-82.3684,-82.3685,0.000166543
-82.38,-82.38,0.000167042
-82.3873,-82.3874,0.00016782
-82.3853,-82.3853,0.00016419
-82.3797,-82.3798,0.000165267
-82.374,-82.3741,0.000167954
-82.367,-82.367,0.000166379
-82.3622,-82.3623,0.000166939
-82.3609,-82.3609,0.000165154
-82.3614,-82.3615,0.00016463
-82.3616,-82.3617,0.000166411
-82.3608,-82.3608,0.000167817
-82.3609,-82.361,0.000167096
-82.3632,-82.3633,0.000168196
-82.3707,-82.3707,0.000168865
-82.3804,-82.3805,0.000168285
-82.3843,-82.3843,0.000167099
-82.3824,-82.3825,0.000166912
-82.3769,-82.3769,0.000169729
-82.3722,-82.3722,0.000169612
-82.3671,-82.3671,0.000166486
-82.3633,-82.3633,0.000166093
-82.3621,-82.3622,0.000163271
-82.3598,-82.3599,0.000162239
-82.358,-82.358,0.000163183
-82.3594,-82.3594,0.000165571
-82.3625,-82.3625,0.000165869
-82.3662,-82.3662,0.000165512
-82.3695,-82.3695,0.00016838
-82.3742,-82.3743,0.000168634
-82.3773,-82.3774,0.000186277
-82.3751,-82.3752,0.000186555
-82.3703,-82.3704,0.000178596
-82.3654,-82.3654,0.000174559
-82.3619,-82.362,0.000170167
-82.3624,-82.3625,0.000169351
-82.3657,-82.3657,0.000168255
-82.3657,-82.3658,0.000169141
-82.3631,-82.3632,0.000169673
-82.3631,-82.3631,0.000168393
-82.3691,-82.3692,0.000165008
-82.3746,-82.3747,0.000164428
-82.3744,-82.3744,0.000162018
-82.3719,-82.372,0.000161298
-82.3709,-82.371,0.000165532
-82.3687,-82.3687,0.000165713
-82.3635,-82.3636,0.000169186
-82.3568,-82.3568,0.000168784
-82.3511,-82.3512,0.000170157
-82.3491,-82.3492,0.000167518
-82.3508,-82.3509,0.000165268
-82.3548,-82.3549,0.00016384
-82.3609,-82.361,0.000161592
-82.3694,-82.3695,0.000162584
-82.3793,-82.3794,0.000163615
-82.3841,-82.3842,0.000161503
-82.3827,-82.3828,0.000162001
-82.3788,-82.3788,0.000163501
-82.3746,-82.3746,0.000164066
-82.3701,-82.3702,0.000161832
-82.367,-82.3671,0.000159845
-82.3605,-82.3605,0.00015833
-82.3528,-82.3528,0.000161072
-82.3492,-82.3493,0.000158477
-82.3466,-82.3467,0.000161645
-82.346,-82.3461,0.000162794
-82.3501,-82.3502,0.000166567
-82.3578,-82.3578,0.000171372
-82.3667,-82.3668,0.000188941
-82.3727,-82.3728,0.000193555
-82.3766,-82.3766,0.000175494
-82.3771,-82.3772,0.000173493
-82.3728,-82.3728,0.000170912
-82.3659,-82.366,0.000167703
-82.3605,-82.3606,0.00017082
-82.3588,-82.3589,0.000174286
-82.3573,-82.3574,0.000195201
-82.3564,-82.3564,0.000177362
-82.3558,-82.3558,0.000167887
-82.3552,-82.3553,0.000165086
-82.3557,-82.3557,0.000162684
-82.3557,-82.3558,0.000164113
-82.3578,-82.3579,0.00016435
-82.3635,-82.3636,0.000166012
-82.3703,-82.3704,0.000162857
-82.3736,-82.3736,0.00016444
-82.3702,-82.3703,0.000164156
-82.3654,-82.3655,0.000162979
-82.3603,-82.3603,0.000161979
-82.3546,-82.3547,0.000160775
-82.3512,-82.3513,0.000162631
-82.3536,-82.3537,0.0001631
-82.3594,-82.3594,0.000159788
-82.3636,-82.3637,0.000160407
-82.3665,-82.3667,0.000160874
-82.3662,-82.3663,0.000161091
-82.3629,-82.363,0.000161472
-82.3586,-82.3587,0.000163705
-82.3558,-82.3559,0.000163485
-82.3546,-82.3547,0.000162131
-82.3587,-82.3588,0.000161575
-82.3602,-82.3602,0.000159478
-82.3552,-82.3552,0.000158606
-82.3493,-82.3494,0.000161086
-82.3483,-82.3483,0.000160485
-82.3519,-82.3519,0.000160476
-82.3576,-82.3576,0.000160877
-82.3639,-82.364,0.000158935
-82.3695,-82.3697,0.000161304
-82.3696,-82.3697,0.000161371
-82.3655,-82.3656,0.000163094
-82.3612,-82.3612,0.000162431
-82.3573,-82.3574,0.000164255
-82.3544,-82.3546,0.000162004
-82.3568,-82.3569,0.000162599
-82.3597,-82.3598,0.000161524
-82.3575,-82.3576,0.000162542
-82.3528,-82.3529,0.00016105
-82.3493,-82.3494,0.000163156
-82.346,-82.3461,0.000161771
-82.3483,-82.3484,0.000161954
-82.3525,-82.3525,0.000160346
-82.3567,-82.3568,0.000160463
-82.36,-82.36,0.000160834
-82.3621,-82.3622,0.000161192
-82.361,-82.3611,0.000161047
-82.3563,-82.3564,0.000159728
-82.3522,-82.3522,0.000158598
-82.3501,-82.3502,0.000159148
-82.3497,-82.3498,0.000162655
-82.3511,-82.3512,0.000163019
-82.3563,-82.3563,0.000162431
-82.3596,-82.3596,0.000162558
-82.3582,-82.3583,0.000161831
-82.3588,-82.3589,0.000161007
-82.3617,-82.3618,0.000161194
-82.3603,-82.3603,0.000160741
-82.3558,-82.3559,0.000160924
-82.357,-82.3571,0.000162115
-82.3563,-82.3563,0.0001593
-82.3509,-82.351,0.000159781
-82.3459,-82.346,0.000163993
-82.3425,-82.3426,0.000162086
-82.3399,-82.34,0.000162185
-82.3426,-82.3427,0.000161152
-82.3497,-82.3498,0.000163302
-82.3563,-82.3564,0.000162713
-82.3573,-82.3574,0.000164194
-82.3552,-82.3553,0.00016373
-82.3548,-82.3549,0.000161752
-82.356,-82.3561,0.000161786
-82.3567,-82.3567,0.000161262
-82.3564,-82.3566,0.000160676
-82.3584,-82.3584,0.000161254
-82.357,-82.3571,0.00016155
-82.3554,-82.3555,0.00015927
-82.3514,-82.3515,0.000159839
-82.3441,-82.3442,0.000160795
-82.3426,-82.3427,0.000160519
-82.345,-82.3451,0.00016226
-82.3473,-82.3474,0.000163663
-82.349,-82.3491,0.000164218
-82.3489,-82.349,0.000164956
-82.3475,-82.3475,0.000163133
-82.3446,-82.3447,0.000162085
-82.3421,-82.3422,0.000163716
-82.3434,-82.3434,0.000163177
-82.3466,-82.3467,0.000159637
-82.3494,-82.3495,0.000161257
-82.3539,-82.354,0.000162116
-82.3562,-82.3562,0.000160946
-82.3552,-82.3553,0.000160621
-82.355,-82.3551,0.000159902
-82.3595,-82.3596,0.000161782
-82.3624,-82.3625,0.000164569
-82.3601,-82.3603,0.00016357
-82.3507,-82.3508,0.000165079
-82.3416,-82.3417,0.000166143
-82.3355,-82.3357,0.000167056
-82.3331,-82.3332,0.000167576
-82.3329,-82.3329,0.000163701
-82.3344,-82.3345,0.000166292
-82.3393,-82.3394,0.000170447
-82.3426,-82.3427,0.00017263
-82.3445,-82.3446,0.000166549
-82.3457,-82.3458,0.000163458
-82.3513,-82.3515,0.000163761
-82.3583,-82.3584,0.000164457
-82.3635,-82.3637,0.000163467
-82.3642,-82.3643,0.000162442
-82.3589,-82.3591,0.000162268
-82.3525,-82.3526,0.000162496
-82.3449,-82.345,0.000160144
-82.3358,-82.3359,0.000163162
-82.3277,-82.3277,0.000162756
-82.3243,-82.3244,0.000163518
-82.3258,-82.3258,0.000162206
-82.3296,-82.3296,0.00016108
-82.3343,-82.3344,0.000159525
-82.3394,-82.3394,0.000161098
-82.3414,-82.3414,0.000162009
-82.3436,-82.3436,0.00016124
-82.3487,-82.3488,0.000162642
-82.3553,-82.3554,0.000162209
-82.3589,-82.359,0.000162677
-82.356,-82.3561,0.000161489
-82.3513,-82.3514,0.00016146
-82.3434,-82.3436,0.000160549
-82.3368,-82.3369,0.000159819
-82.3353,-82.3354,0.000159792
-82.3393,-82.3394,0.000161125
-82.3424,-82.3425,0.000159835
-82.3407,-82.3408,0.000160013
-82.3406,-82.3408,0.000160775
-82.3382,-82.3384,0.0001606
-82.3344,-82.3345,0.000162478
-82.3335,-82.3336,0.000161861
-82.3359,-82.336,0.000160602
-82.3393,-82.3394,0.000162506
-82.3442,-82.3443,0.000162234
-82.3463,-82.3464,0.000161919
-82.3414,-82.3415,0.000160938
-82.3386,-82.3388,0.00016173
-82.3407,-82.3408,0.000163308
-82.3422,-82.3423,0.000161686
-82.3409,-82.341,0.000159853
-82.3393,-82.3395,0.000160163
-82.3333,-82.3334,0.000162261
-82.3265,-82.3266,0.000163111
-82.326,-82.3262,0.000161997
-82.3364,-82.3365,0.000160667
-82.3436,-82.3437,0.000162043
-82.3448,-82.3449,0.000161539
-82.3449,-82.345,0.000162913
-82.3402,-82.3403,0.000163481
-82.3342,-82.3343,0.00016522
-82.3328,-82.333,0.000164862
-82.3366,-82.3367,0.000164691
-82.3399,-82.34,0.000168878
-82.3427,-82.3428,0.000169591
-82.3485,-82.3486,0.000170021
-82.3478,-82.3479,0.000168098
-82.3363,-82.3364,0.000169065
-82.3235,-82.3236,0.000167895
-82.3152,-82.3153,0.000165085
-82.3133,-82.3134,0.000163664
-82.3165,-82.3166,0.000164439
-82.3206,-82.3207,0.000162848
-82.3243,-82.3244,0.000163644
-82.3274,-82.3275,0.00016479
-82.3315,-82.3316,0.000163271
-82.3369,-82.337,0.000160981
-82.3394,-82.3395,0.000161375
-82.3428,-82.3429,0.000160494
-82.3472,-82.3473,0.000163173
-82.3478,-82.3479,0.000164216
